publication_date,date,variable,N
2021-01-26,2020-05-06,Number of tests,3808
2021-01-26,2020-05-06,Number of deaths,3
2021-01-26,2020-05-07,Number of cases,108
2021-01-26,2020-05-07,Number of tests,3832
2021-01-26,2020-05-07,Number of deaths,8
2021-01-26,2020-05-08,Number of cases,81
2021-01-26,2020-05-08,Number of tests,3322
2021-01-26,2020-05-08,Number of deaths,1
2021-01-26,2020-05-09,Number of cases,47
2021-01-26,2020-05-09,Number of tests,2810
2021-01-26,2020-05-09,Number of deaths,3
2021-01-26,2020-05-10,Number of cases,28
2021-01-26,2020-05-10,Number of tests,1819
2021-01-26,2020-05-10,Number of deaths,0
2021-01-26,2020-05-11,Number of cases,92
2021-01-26,2020-05-11,Number of tests,2208
2021-01-26,2020-05-11,Number of deaths,1
2021-01-26,2020-05-12,Number of cases,67
2021-01-26,2020-05-12,Number of tests,4055
2021-01-26,2020-05-12,Number of deaths,2
2021-01-26,2020-05-13,Number of cases,79
2021-01-26,2020-05-13,Number of tests,4011
2021-01-26,2020-05-13,Number of deaths,2
2021-01-26,2020-05-14,Number of cases,50
2021-01-26,2020-05-14,Number of tests,3896
2021-01-26,2020-05-14,Number of deaths,0
2021-01-26,2020-05-15,Number of cases,55
2021-01-26,2020-05-15,Number of tests,4353
2021-01-26,2020-05-15,Number of deaths,1
2021-01-26,2020-05-16,Number of cases,25
2021-01-26,2020-05-16,Number of tests,3450
2021-01-26,2020-05-16,Number of deaths,2
2021-01-26,2020-05-17,Number of cases,29
2021-01-26,2020-05-17,Number of tests,2312
2021-01-26,2020-05-17,Number of deaths,0
2021-01-26,2020-05-18,Number of cases,45
2021-01-26,2020-05-18,Number of tests,2360
2021-01-26,2020-05-18,Number of deaths,2
2021-01-26,2020-05-19,Number of cases,41
2021-01-26,2020-05-19,Number of tests,4946
2021-01-26,2020-05-19,Number of deaths,0
2021-01-26,2020-05-20,Number of cases,43
2021-01-26,2020-05-20,Number of tests,3696
2021-01-26,2020-05-20,Number of deaths,1
2021-01-26,2020-05-21,Number of cases,22
2021-01-26,2020-05-21,Number of tests,2965
2021-01-26,2020-05-21,Number of deaths,0
2021-01-26,2020-05-22,Number of cases,32
2021-01-26,2020-05-22,Number of tests,2216
2021-01-26,2020-05-22,Number of deaths,1
2021-01-26,2020-05-23,Number of cases,18
2021-01-26,2020-05-23,Number of tests,2630
2021-01-26,2020-05-23,Number of deaths,0
2021-01-26,2020-05-24,Number of cases,20
2021-01-26,2020-05-24,Number of tests,1554
2021-01-26,2020-05-24,Number of deaths,1
2021-01-26,2020-05-25,Number of cases,45
2021-01-26,2020-05-25,Number of tests,1744
2021-01-26,2020-05-25,Number of deaths,1
2021-01-26,2020-05-26,Number of cases,33
2021-01-26,2020-05-26,Number of tests,3638
2021-01-26,2020-05-26,Number of deaths,0
2021-01-26,2020-05-27,Number of cases,12
2021-01-26,2020-05-27,Number of tests,2971
2021-01-26,2020-05-27,Number of deaths,0
2021-01-26,2020-05-28,Number of cases,30
2021-01-26,2020-05-28,Number of tests,2983
2021-01-26,2020-05-28,Number of deaths,0
2021-01-26,2020-05-29,Number of cases,21
2021-01-26,2020-05-29,Number of tests,2804
2021-01-26,2020-05-29,Number of deaths,1
2021-01-26,2020-05-30,Number of cases,10
2021-01-26,2020-05-30,Number of tests,1945
2021-01-26,2020-05-30,Number of deaths,0
2021-01-26,2020-05-31,Number of cases,12
2021-01-26,2020-05-31,Number of tests,1295
2021-01-26,2020-05-31,Number of deaths,0
2021-01-26,2020-06-01,Number of cases,17
2021-01-26,2020-06-01,Number of tests,1685
2021-01-26,2020-06-01,Number of deaths,0
2021-01-26,2020-06-02,Number of cases,15
2021-01-26,2020-06-02,Number of tests,2875
2021-01-26,2020-06-02,Number of deaths,0
2021-01-26,2020-06-03,Number of cases,25
2021-01-26,2020-06-03,Number of tests,2860
2021-01-26,2020-06-03,Number of deaths,0
2021-01-26,2020-06-04,Number of cases,12
2021-01-26,2020-06-04,Number of tests,2798
2021-01-26,2020-06-04,Number of deaths,0
2021-01-26,2020-06-05,Number of cases,13
2021-01-26,2020-06-05,Number of tests,2321
2021-01-26,2020-06-05,Number of deaths,0
2021-01-26,2020-06-06,Number of cases,13
2021-01-26,2020-06-06,Number of tests,2042
2021-01-26,2020-06-06,Number of deaths,1
2021-01-26,2020-06-07,Number of cases,4
2021-01-26,2020-06-07,Number of tests,962
2021-01-26,2020-06-07,Number of deaths,0
2021-01-26,2020-06-08,Number of cases,10
2021-01-26,2020-06-08,Number of tests,1842
2021-01-26,2020-06-08,Number of deaths,0
2021-01-26,2020-06-09,Number of cases,8
2021-01-26,2020-06-09,Number of tests,2950
2021-01-26,2020-06-09,Number of deaths,0
2021-01-26,2020-06-10,Number of cases,7
2021-01-26,2020-06-10,Number of tests,2956
2021-01-26,2020-06-10,Number of deaths,0
2021-01-26,2020-06-11,Number of cases,9
2021-01-26,2020-06-11,Number of tests,2973
2021-01-26,2020-06-11,Number of deaths,0
2021-01-26,2020-06-12,Number of cases,13
2021-01-26,2020-06-12,Number of tests,2496
2021-01-26,2020-06-12,Number of deaths,0
2021-01-26,2020-06-13,Number of cases,2
2021-01-26,2020-06-13,Number of tests,1553
2021-01-26,2020-06-13,Number of deaths,0
2021-01-26,2020-06-14,Number of cases,5
2021-01-26,2020-06-14,Number of tests,826
2021-01-26,2020-06-14,Number of deaths,0
2021-01-26,2020-06-15,Number of cases,15
2021-01-26,2020-06-15,Number of tests,1899
