publication_date,date,N_dead
2021-01-27,2020-12-19,485
2021-01-27,2020-12-20,505
2021-01-27,2020-12-21,568
2021-01-27,2020-12-22,564
2021-01-27,2020-12-23,565
2021-01-27,2020-12-24,577
2021-01-27,2020-12-25,605
2021-01-27,2020-12-26,649
2021-01-27,2020-12-27,641
2021-01-27,2020-12-28,674
2021-01-27,2020-12-29,656
2021-01-27,2020-12-30,714
2021-01-27,2020-12-31,746
2021-01-27,2021-01-01,734
2021-01-27,2021-01-02,748
2021-01-27,2021-01-03,747
2021-01-27,2021-01-04,829
2021-01-27,2021-01-05,896
2021-01-27,2021-01-06,923
2021-01-27,2021-01-07,977
2021-01-27,2021-01-08,959
2021-01-27,2021-01-09,1001
2021-01-27,2021-01-10,1060
2021-01-27,2021-01-11,1113
2021-01-27,2021-01-12,1169
2021-01-27,2021-01-13,1155
2021-01-27,2021-01-14,1169
2021-01-27,2021-01-15,1145
2021-01-27,2021-01-16,1198
2021-01-27,2021-01-17,1164
2021-01-27,2021-01-18,1202
2021-01-27,2021-01-19,1192
2021-01-27,2021-01-20,1091
2021-01-27,2021-01-21,1011
2021-01-27,2021-01-22,856
2021-01-27,2021-01-23,703
2021-01-27,2021-01-24,613
2021-01-27,2021-01-25,316
2021-01-28,2020-02-29,0
2021-01-28,2020-03-01,0
2021-01-28,2020-03-02,1
2021-01-28,2020-03-03,2
2021-01-28,2020-03-04,0
2021-01-28,2020-03-05,3
2021-01-28,2020-03-06,0
2021-01-28,2020-03-07,0
2021-01-28,2020-03-08,3
2021-01-28,2020-03-09,5
2021-01-28,2020-03-10,3
2021-01-28,2020-03-11,8
2021-01-28,2020-03-12,13
2021-01-28,2020-03-13,16
2021-01-28,2020-03-14,22
2021-01-28,2020-03-15,32
2021-01-28,2020-03-16,43
2021-01-28,2020-03-17,52
2021-01-28,2020-03-18,68
2021-01-29,2020-02-29,0
2021-01-29,2020-03-01,0
2021-01-29,2020-03-02,1
2021-01-29,2020-03-03,2
2021-01-29,2020-03-04,0
2021-01-29,2020-03-05,3
2021-01-29,2020-03-06,0
2021-01-29,2020-03-07,0
2021-01-29,2020-03-08,3
2021-01-29,2020-03-09,5
2021-01-29,2020-03-10,3
2021-01-29,2020-03-11,8
2021-01-29,2020-03-12,13
2021-01-29,2020-03-13,16
2021-01-29,2020-03-14,22
2021-01-29,2020-03-15,32
2021-01-29,2020-03-16,46
2021-01-29,2020-03-17,52
2021-01-29,2020-03-18,68
2021-01-29,2020-03-19,74
2021-01-29,2020-03-20,109
2021-01-29,2020-03-21,131
2021-01-29,2020-03-22,165
2021-01-29,2020-03-23,186
2021-01-29,2020-03-24,237
2021-01-29,2020-03-25,302
2021-01-29,2020-03-26,360
2021-01-29,2020-03-27,398
2021-01-29,2020-03-28,436
2021-01-29,2020-03-29,507
2021-01-29,2020-03-30,586
2021-01-29,2020-03-31,661
2021-01-29,2020-04-01,767
2021-01-29,2020-04-02,805
2021-01-29,2020-04-03,839
2021-01-29,2020-04-04,905
2021-01-29,2020-04-05,915
2021-01-29,2020-04-06,892
2021-01-29,2020-04-07,999
2021-01-29,2020-04-08,1073
2021-01-29,2020-04-09,999
2021-01-29,2020-04-10,941
2021-01-29,2020-04-11,956
2021-01-29,2020-04-12,957
2021-01-29,2020-04-13,893
2021-01-29,2020-04-14,859
2021-01-29,2020-04-15,879
2021-01-29,2020-04-16,839
2021-01-29,2020-04-17,819
